Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,126.230003,126.639999,124.889999,125.669998,108.721092,250000
2015-01-05,124.440002,124.610001,123.050003,123.370003,106.731285,240600
2015-01-06,123.400002,123.720001,121.209999,122.099998,105.632576,285600
2015-01-07,125.519997,126.059998,125.059998,125.169998,108.288521,385700
2015-01-08,126.449997,127.699997,126.449997,127.580002,110.373489,498800
2015-01-09,127.769997,127.769997,125.980003,126.080002,109.075798,150300
2015-01-12,126.500000,127.739998,125.339996,126.040001,109.041191,306700
2015-01-13,127.050003,127.870003,125.629997,126.410004,109.361290,252900
2015-01-14,125.419998,125.980003,124.629997,125.820000,108.850861,363800
2015-01-15,127.870003,128.369995,126.629997,126.779999,109.681374,310400
2015-01-16,128.320007,129.000000,128.050003,128.880005,111.498169,441600
2015-01-20,129.500000,129.789993,128.759995,129.160004,111.740402,436700
2015-01-21,128.360001,128.820007,128.009995,128.660004,111.307838,606700
2015-01-22,128.970001,130.229996,127.959999,129.860001,112.345993,235500
2015-01-23,130.000000,130.210007,129.500000,129.660004,112.172966,292900
2015-01-26,130.979996,132.309998,130.979996,131.860001,114.076256,350600
2015-01-27,131.130005,131.729996,130.880005,131.100006,113.418755,301000
2015-01-28,132.229996,132.419998,130.699997,130.949997,113.288971,304100
2015-01-29,131.479996,132.179993,130.940002,132.149994,114.327141,411800
2015-01-30,129.490005,129.979996,128.690002,128.850006,111.472206,273900
2015-02-02,130.100006,131.130005,129.710007,131.089996,113.410088,280200
2015-02-03,129.550003,131.169998,129.419998,131.100006,113.418755,458000
2015-02-04,132.199997,134.240005,132.199997,132.679993,114.785652,471300
2015-02-05,130.979996,131.919998,130.779999,131.740005,113.972450,448000
2015-02-06,129.770004,130.490005,129.369995,129.570007,112.095100,379900
2015-02-09,129.470001,129.750000,128.960007,129.160004,111.740402,186000
2015-02-10,129.710007,131.059998,129.710007,130.850006,113.202477,229100
2015-02-11,130.800003,131.250000,130.740005,131.020004,113.349548,449200
2015-02-12,131.389999,131.990005,131.199997,131.820007,114.041656,327600
2015-02-13,131.990005,132.789993,131.990005,132.490005,114.621292,301000
2015-02-17,132.000000,132.690002,132.000000,132.080002,114.266586,365400
2015-02-18,133.660004,134.360001,133.649994,134.160004,116.066071,258400
2015-02-19,134.500000,135.490005,134.380005,135.279999,117.035004,218600
2015-02-20,135.940002,136.990005,135.860001,136.899994,118.436508,239800
2015-02-23,136.899994,137.199997,136.410004,136.979996,118.505714,199800
2015-02-24,137.600006,138.699997,137.240005,138.339996,119.682304,335000
2015-02-25,136.800003,137.139999,136.389999,136.869995,118.410561,236800
2015-02-26,136.880005,137.460007,136.630005,136.800003,118.350006,258000
2015-02-27,135.350006,135.800003,135.350006,135.369995,117.112862,219900
2015-03-02,135.250000,136.000000,135.250000,135.869995,117.545433,254500
2015-03-03,135.369995,135.839996,135.070007,135.399994,117.138817,208000
2015-03-04,135.399994,135.589996,134.399994,135.520004,117.242645,205500
2015-03-05,134.960007,135.419998,134.649994,134.899994,116.706245,232900
2015-03-06,135.320007,135.979996,134.699997,134.889999,116.697594,184700
2015-03-09,135.500000,135.649994,134.940002,135.389999,117.130173,174100
2015-03-10,134.149994,134.380005,133.600006,133.690002,115.659439,220900
2015-03-11,134.199997,134.449997,133.830002,134.000000,115.927635,222700
2015-03-12,136.169998,137.669998,136.169998,137.529999,118.981544,313200
2015-03-13,135.860001,136.380005,135.460007,136.169998,117.804985,393200
2015-03-16,137.360001,138.139999,137.160004,137.520004,118.972900,271000
2015-03-17,137.089996,137.369995,136.600006,136.960007,118.488434,816400
2015-03-18,139.100006,140.259995,138.490005,140.080002,121.187645,457900
2015-03-19,140.139999,140.589996,139.649994,140.100006,121.204956,310600
2015-03-20,142.639999,143.500000,142.529999,143.089996,123.791679,406900
2015-03-23,145.330002,145.800003,144.949997,145.320007,125.720932,480700
2015-03-24,145.229996,145.229996,144.399994,144.520004,125.028831,303700
2015-03-25,145.250000,145.250000,143.779999,143.809998,124.414581,328600
2015-03-26,143.000000,143.660004,142.710007,143.110001,123.808990,324400
2015-03-27,142.339996,142.509995,141.720001,142.399994,124.951347,238100
2015-03-30,141.669998,142.940002,141.380005,142.550003,125.082993,484100
2015-03-31,140.880005,140.940002,139.710007,139.889999,122.748909,555100
2015-04-01,138.330002,138.660004,137.770004,138.479996,121.511688,358900
2015-04-02,139.830002,140.899994,139.630005,140.020004,122.862991,249000
2015-04-06,140.000000,141.210007,140.000000,140.639999,123.407036,157800
2015-04-07,140.100006,140.639999,139.649994,139.720001,122.599762,260800
2015-04-08,139.860001,140.369995,139.539993,139.940002,122.792786,142100
2015-04-09,139.100006,140.119995,139.000000,139.910004,122.766479,276700
2015-04-10,138.710007,139.820007,138.660004,139.649994,122.538322,320300
2015-04-13,137.669998,138.000000,137.199997,137.559998,120.704414,320200
2015-04-14,138.690002,138.979996,138.130005,138.660004,121.669655,171600
